Highway1,Counties,Traffic Count Locations,Day of 2019Date,Day of 2020Date,Measure Names,Weekday of Day,Measure Values,2019 Volume
I-90,Spokane,I-90 at US 2 West,Tue. 05/21/19,Tue. 05/19/20,2019 Volumes,Tuesday,32659,32659
I-90,Spokane,I-90 at Sprague,Tue. 05/21/19,Tue. 05/19/20,2019 Volumes,Tuesday,78157,78157
I-90,Spokane,I-90 at Pines Road (SR 27),Tue. 05/21/19,Tue. 05/19/20,2019 Volumes,Tuesday,99506,99506
I-90,Spokane,I-90 at US 2 West,Wed. 05/22/19,Wed. 05/20/20,2020 Volumes,Wednesday,40398,33319
I-90,Spokane,I-90 at Sprague,Wed. 05/22/19,Wed. 05/20/20,2020 Volumes,Wednesday,88301,81316
I-90,Spokane,I-90 at Pines Road (SR 27),Wed. 05/22/19,Wed. 05/20/20,2020 Volumes,Wednesday,82295,104262
I-90,Spokane,I-90 at US 2 West,Wed. 05/22/19,Wed. 05/20/20,2019 Volumes,Wednesday,33319,33319
I-90,Spokane,I-90 at Sprague,Wed. 05/22/19,Wed. 05/20/20,2019 Volumes,Wednesday,81316,81316
I-90,Spokane,I-90 at Pines Road (SR 27),Wed. 05/22/19,Wed. 05/20/20,2019 Volumes,Wednesday,104262,104262
I-90,Spokane,I-90 at US 2 West,Thu. 05/23/19,Thu. 05/21/20,2020 Volumes,Thursday,45707,36654
I-90,Spokane,I-90 at Sprague,Thu. 05/23/19,Thu. 05/21/20,2020 Volumes,Thursday,94613,82297
I-90,Spokane,I-90 at Pines Road (SR 27),Thu. 05/23/19,Thu. 05/21/20,2020 Volumes,Thursday,86106,104974
I-90,Spokane,I-90 at US 2 West,Thu. 05/23/19,Thu. 05/21/20,2019 Volumes,Thursday,36654,36654
I-90,Spokane,I-90 at Sprague,Thu. 05/23/19,Thu. 05/21/20,2019 Volumes,Thursday,82297,82297
I-90,Spokane,I-90 at Pines Road (SR 27),Thu. 05/23/19,Thu. 05/21/20,2019 Volumes,Thursday,104974,104974
I-90,Spokane,I-90 at US 2 West,Fri. 05/24/19,Fri. 05/22/20,2020 Volumes,Friday,48374,39956
I-90,Spokane,I-90 at Sprague,Fri. 05/24/19,Fri. 05/22/20,2020 Volumes,Friday,94609,80211
I-90,Spokane,I-90 at Pines Road (SR 27),Fri. 05/24/19,Fri. 05/22/20,2020 Volumes,Friday,86036,104652
I-90,Spokane,I-90 at US 2 West,Fri. 05/24/19,Fri. 05/22/20,2019 Volumes,Friday,39956,39956
I-90,Spokane,I-90 at Sprague,Fri. 05/24/19,Fri. 05/22/20,2019 Volumes,Friday,80211,80211
I-90,Spokane,I-90 at Pines Road (SR 27),Fri. 05/24/19,Fri. 05/22/20,2019 Volumes,Friday,104652,104652
I-90,Spokane,I-90 at US 2 West,Sat. 05/25/19,Sat. 05/23/20,2020 Volumes,Saturday,34231,26976
I-90,Spokane,I-90 at Sprague,Sat. 05/25/19,Sat. 05/23/20,2020 Volumes,Saturday,66436,56629
I-90,Spokane,I-90 at Pines Road (SR 27),Sat. 05/25/19,Sat. 05/23/20,2020 Volumes,Saturday,62915,75509
I-90,Spokane,I-90 at US 2 West,Sat. 05/25/19,Sat. 05/23/20,2019 Volumes,Saturday,26976,26976
I-90,Spokane,I-90 at Sprague,Sat. 05/25/19,Sat. 05/23/20,2019 Volumes,Saturday,56629,56629
I-90,Spokane,I-90 at Pines Road (SR 27),Sat. 05/25/19,Sat. 05/23/20,2019 Volumes,Saturday,75509,75509
I-90,Spokane,I-90 at US 2 West,Sun. 05/26/19,Sun. 05/24/20,2020 Volumes,Sunday,29775,23272
I-90,Spokane,I-90 at Sprague,Sun. 05/26/19,Sun. 05/24/20,2020 Volumes,Sunday,57057,46880
I-90,Spokane,I-90 at Pines Road (SR 27),Sun. 05/26/19,Sun. 05/24/20,2020 Volumes,Sunday,53410,62392
I-90,Spokane,I-90 at US 2 West,Sun. 05/26/19,Sun. 05/24/20,2019 Volumes,Sunday,23272,23272
I-90,Spokane,I-90 at Sprague,Sun. 05/26/19,Sun. 05/24/20,2019 Volumes,Sunday,46880,46880
I-90,Spokane,I-90 at Pines Road (SR 27),Sun. 05/26/19,Sun. 05/24/20,2019 Volumes,Sunday,62392,62392
I-90,Spokane,I-90 at US 2 West,Mon. 05/27/19,Mon. 05/25/20,2020 Volumes,Monday,35769,29201
I-90,Spokane,I-90 at Sprague,Mon. 05/27/19,Mon. 05/25/20,2020 Volumes,Monday,61202,50877
I-90,Spokane,I-90 at Pines Road (SR 27),Mon. 05/27/19,Mon. 05/25/20,2020 Volumes,Monday,56650,66818
I-90,Spokane,I-90 at US 2 West,Mon. 05/27/19,Mon. 05/25/20,2019 Volumes,Monday,29201,29201
I-90,Spokane,I-90 at Sprague,Mon. 05/27/19,Mon. 05/25/20,2019 Volumes,Monday,50877,50877
I-90,Spokane,I-90 at Pines Road (SR 27),Mon. 05/27/19,Mon. 05/25/20,2019 Volumes,Monday,66818,66818
I-90,Spokane,I-90 at US 2 West,Tue. 05/28/19,Tue. 05/26/20,2020 Volumes,Tuesday,45124,33980
I-90,Spokane,I-90 at Sprague,Tue. 05/28/19,Tue. 05/26/20,2020 Volumes,Tuesday,94256,78516
I-90,Spokane,I-90 at Pines Road (SR 27),Tue. 05/28/19,Tue. 05/26/20,2020 Volumes,Tuesday,85507,99872
I-90,Spokane,I-90 at US 2 West,Tue. 05/28/19,Tue. 05/26/20,2019 Volumes,Tuesday,33980,33980
I-90,Spokane,I-90 at Sprague,Tue. 05/28/19,Tue. 05/26/20,2019 Volumes,Tuesday,78516,78516
I-90,Spokane,I-90 at Pines Road (SR 27),Tue. 05/28/19,Tue. 05/26/20,2019 Volumes,Tuesday,99872,99872
I-90,Spokane,I-90 at US 2 West,Wed. 05/29/19,Wed. 05/27/20,2020 Volumes,Wednesday,44377,32494
I-90,Spokane,I-90 at Sprague,Wed. 05/29/19,Wed. 05/27/20,2020 Volumes,Wednesday,96656,78776
I-90,Spokane,I-90 at Pines Road (SR 27),Wed. 05/29/19,Wed. 05/27/20,2020 Volumes,Wednesday,87903,100191
I-90,Spokane,I-90 at US 2 West,Wed. 05/29/19,Wed. 05/27/20,2019 Volumes,Wednesday,32494,32494
I-90,Spokane,I-90 at Sprague,Wed. 05/29/19,Wed. 05/27/20,2019 Volumes,Wednesday,78776,78776
I-90,Spokane,I-90 at Pines Road (SR 27),Wed. 05/29/19,Wed. 05/27/20,2019 Volumes,Wednesday,100191,100191
I-90,Spokane,I-90 at US 2 West,Thu. 05/30/19,Thu. 05/28/20,2020 Volumes,Thursday,45744,33854
I-90,Spokane,I-90 at Sprague,Thu. 05/30/19,Thu. 05/28/20,2020 Volumes,Thursday,98484,80507
I-90,Spokane,I-90 at Pines Road (SR 27),Thu. 05/30/19,Thu. 05/28/20,2020 Volumes,Thursday,90458,102132
I-90,Spokane,I-90 at US 2 West,Thu. 05/30/19,Thu. 05/28/20,2019 Volumes,Thursday,33854,33854
I-90,Spokane,I-90 at Sprague,Thu. 05/30/19,Thu. 05/28/20,2019 Volumes,Thursday,80507,80507
I-90,Spokane,I-90 at Pines Road (SR 27),Thu. 05/30/19,Thu. 05/28/20,2019 Volumes,Thursday,102132,102132
I-90,Spokane,I-90 at US 2 West,Fri. 05/31/19,Fri. 05/29/20,2020 Volumes,Friday,49066,36838
I-90,Spokane,I-90 at Sprague,Fri. 05/31/19,Fri. 05/29/20,2020 Volumes,Friday,102045,83871
I-90,Spokane,I-90 at Pines Road (SR 27),Fri. 05/31/19,Fri. 05/29/20,2020 Volumes,Friday,94339,107129
I-90,Spokane,I-90 at US 2 West,Fri. 05/31/19,Fri. 05/29/20,2019 Volumes,Friday,36838,36838
I-90,Spokane,I-90 at Sprague,Fri. 05/31/19,Fri. 05/29/20,2019 Volumes,Friday,83871,83871
I-90,Spokane,I-90 at Pines Road (SR 27),Fri. 05/31/19,Fri. 05/29/20,2019 Volumes,Friday,107129,107129
I-90,Spokane,I-90 at US 2 West,Sat. 06/01/19,Sat. 05/30/20,2020 Volumes,Saturday,34856,27193
I-90,Spokane,I-90 at Sprague,Sat. 06/01/19,Sat. 05/30/20,2020 Volumes,Saturday,70589,63059
I-90,Spokane,I-90 at Pines Road (SR 27),Sat. 06/01/19,Sat. 05/30/20,2020 Volumes,Saturday,67199,82506
I-90,Spokane,I-90 at US 2 West,Sat. 06/01/19,Sat. 05/30/20,2019 Volumes,Saturday,27193,27193
I-90,Spokane,I-90 at Sprague,Sat. 06/01/19,Sat. 05/30/20,2019 Volumes,Saturday,63059,63059
I-90,Spokane,I-90 at Pines Road (SR 27),Sat. 06/01/19,Sat. 05/30/20,2019 Volumes,Saturday,82506,82506
I-90,Spokane,I-90 at US 2 West,Sun. 06/02/19,Sun. 05/31/20,2020 Volumes,Sunday,32036,27389
I-90,Spokane,I-90 at Sprague,Sun. 06/02/19,Sun. 05/31/20,2020 Volumes,Sunday,59844,54025
I-90,Spokane,I-90 at Pines Road (SR 27),Sun. 06/02/19,Sun. 05/31/20,2020 Volumes,Sunday,55420,69726
I-90,Spokane,I-90 at US 2 West,Sun. 06/02/19,Sun. 05/31/20,2019 Volumes,Sunday,27389,27389
I-90,Spokane,I-90 at Sprague,Sun. 06/02/19,Sun. 05/31/20,2019 Volumes,Sunday,54025,54025
I-90,Spokane,I-90 at Pines Road (SR 27),Sun. 06/02/19,Sun. 05/31/20,2019 Volumes,Sunday,69726,69726
I-90,Spokane,I-90 at US 2 West,Mon. 06/03/19,Mon. 06/01/20,2020 Volumes,Monday,44504,32870
