Previous,Current,DayofWeek,2019,2020,Amtrak
3/3/2019,3/1/2020,Sunday,"2,347","2,321",-1%
3/4/2019,3/2/2020,Monday,"1,429","1,252",-12%
3/5/2019,3/3/2020,Tuesday,"1,107",980,-11%
3/6/2019,3/4/2020,Wednesday,"1,218","1,097",-10%
3/7/2019,3/5/2020,Thursday,"1,442","1,278",-11%
3/8/2019,3/6/2020,Friday,"2,346","1,831",-22%
3/9/2019,3/7/2020,Saturday,"1,714","1,351",-21%
3/10/2019,3/8/2020,Sunday,"2,420","1,721",-29%
3/11/2019,3/9/2020,Monday,"1,539","1,035",-33%
3/12/2019,3/10/2020,Tuesday,"1,311",872,-33%
3/13/2019,3/11/2020,Wednesday,"1,498",955,-36%
3/14/2019,3/12/2020,Thursday,"1,753","1,048",-40%
3/15/2019,3/13/2020,Friday,"2,510","1,136",-55%
3/16/2019,3/14/2020,Saturday,"1,968",759,-61%
3/17/2019,3/15/2020,Sunday,"2,596","1,014",-61%
3/18/2019,3/16/2020,Monday,"1,841",605,-67%
3/19/2019,3/17/2020,Tuesday,"1,682",300,-82%
3/20/2019,3/18/2020,Wednesday,"1,890",328,-83%
3/21/2019,3/19/2020,Thursday,"2,294",295,-87%
3/22/2019,3/20/2020,Friday,"2,842",324,-89%
3/23/2019,3/21/2020,Saturday,"2,395",190,-92%
3/24/2019,3/22/2020,Sunday,"2,725",179,-93%
3/25/2019,3/23/2020,Monday,"2,283",150,-93%
3/26/2019,3/24/2020,Tuesday,"1,998",135,-93%
3/27/2019,3/25/2020,Wednesday,"2,361",110,-95%
3/28/2019,3/26/2020,Thursday,"2,461",91,-96%
3/29/2019,3/27/2020,Friday,"2,809",77,-97%
3/30/2019,3/28/2020,Saturday,"2,643",83,-97%
3/31/2019,3/29/2020,Sunday,"3,024",82,-97%
4/1/2019,3/30/2020,Monday,"2,184",93,-96%
4/2/2019,3/31/2020,Tuesday,"1,628",55,-97%
4/3/2019,4/1/2020,Wednesday,"1,721",98,-94%
4/4/2019,4/2/2020,Thursday,"1,897",62,-97%
4/5/2019,4/3/2020,Friday,"2,483",76,-97%
4/6/2019,4/4/2020,Saturday,"2,197",53,-98%
4/7/2019,4/5/2020,Sunday,"2,560",73,-97%
4/8/2019,4/6/2020,Monday,"1,643",43,-97%
4/9/2019,4/7/2020,Tuesday,"1,517",55,-96%
4/10/2019,4/8/2020,Wednesday,"1,398",52,-96%
4/11/2019,4/9/2020,Thursday,"1,746",34,-98%
4/12/2019,4/10/2020,Friday,"2,584",96,-96%
4/13/2019,4/11/2020,Saturday,"2,048",58,-97%
4/14/2019,4/12/2020,Sunday,"2,701",52,-98%
4/15/2019,4/13/2020,Monday,"1,622",46,-97%
4/16/2019,4/14/2020,Tuesday,"1,683",50,-97%
4/17/2019,4/15/2020,Wednesday,"1,808",53,-97%
4/18/2019,4/16/2020,Thursday,"2,326",45,-98%
4/19/2019,4/17/2020,Friday,"2,814",75,-97%
4/20/2019,4/18/2020,Saturday,"2,313",49,-98%
4/21/2019,4/19/2020,Sunday,"2,740",48,-98%
4/22/2019,4/20/2020,Monday,"2,326",47,-98%
4/23/2019,4/21/2020,Tuesday,"1,633",56,-97%
4/24/2019,4/22/2020,Wednesday,"1,620",48,-97%
4/25/2019,4/23/2020,Thursday,"2,074",57,-97%
4/26/2019,4/24/2020,Friday,"2,746",61,-98%
4/27/2019,4/25/2020,Saturday,"2,080",59,-97%
4/28/2019,4/26/2020,Sunday,"2,804",54,-98%
4/29/2019,4/27/2020,Monday,"1,918",57,-97%
4/30/2019,4/28/2020,Tuesday,"1,703",43,-97%
5/1/2019,4/29/2020,Wednesday,"1,969",70,-96%
5/2/2019,4/30/2020,Thursday,"2,085",54,-97%
5/3/2019,5/1/2020,Friday,"2,725",66,-98%
5/4/2019,5/2/2020,Saturday,"2,329",76,-97%
5/5/2019,5/3/2020,Sunday,"2,661",67,-97%
5/6/2019,5/4/2020,Monday,"1,844",62,-97%
5/7/2019,5/5/2020,Tuesday,"1,364",71,-95%
5/8/2019,5/6/2020,Wednesday,"1,800",59,-97%
5/9/2019,5/7/2020,Thursday,"2,101",97,-95%
5/10/2019,5/8/2020,Friday,"2,748",128,-95%
5/11/2019,5/9/2020,Saturday,"2,336",70,-97%
5/12/2019,5/10/2020,Sunday,"2,669",89,-97%
5/13/2019,5/11/2020,Monday,"2,056",102,-95%
5/14/2019,5/12/2020,Tuesday,"1,597",53,-97%
5/15/2019,5/13/2020,Wednesday,"1,717",74,-96%
5/16/2019,5/14/2020,Thursday,"2,161",97,-96%
5/17/2019,5/15/2020,Friday,"2,786",125,-96%
5/18/2019,5/16/2020,Saturday,"2,354",99,-96%
5/19/2019,5/17/2020,Sunday,"2,816",96,-97%
5/20/2019,5/18/2020,Monday,"2,147",71,-97%
5/21/2019,5/19/2020,Tuesday,"1,850",61,-97%
5/22/2019,5/20/2020,Wednesday,"1,694",83,-95%
5/23/2019,5/21/2020,Thursday,"2,290",125,-95%
5/24/2019,5/22/2020,Friday,"3,076",154,-95%
5/25/2019,5/23/2020,Saturday,"2,600",115,-96%
5/26/2019,5/24/2020,Sunday,"2,536",116,-95%
5/27/2019,5/25/2020,Monday,"3,044",123,-96%
5/28/2019,5/26/2020,Tuesday,"2,109",93,-96%
5/29/2019,5/27/2020,Wednesday,"1,964",97,-95%
5/30/2019,5/28/2020,Thursday,"1,934",101,-95%
5/31/2019,5/29/2020,Friday,"2,707",127,-95%
6/1/2019,5/30/2020,Saturday,"2,371",98,-96%
6/2/2019,5/31/2020,Sunday,"2,898",110,-96%
6/3/2019,6/1/2020,Monday,"2,164",123,-94%
6/4/2019,6/2/2020,Tuesday,"1,754",96,-95%
