Day of Date2020,Route1,Measure Names,Measure Values
"March 4, 2020",Seattle - Bainbridge Island,2019     Ridership,13603
"March 3, 2020",Seattle - Bainbridge Island,2019     Ridership,14672
"March 2, 2020",Seattle - Bainbridge Island,2019     Ridership,14166
"March 1, 2020",Seattle - Bainbridge Island,2019     Ridership,14338
"June 3, 2020",Seattle - Bremerton,Percentage Change,-0.837622903
"June 2, 2020",Seattle - Bremerton,Percentage Change,-0.852585722
"June 1, 2020",Seattle - Bremerton,Percentage Change,-0.842591257
"May 31, 2020",Seattle - Bremerton,Percentage Change,-0.885011123
"May 30, 2020",Seattle - Bremerton,Percentage Change,-0.838629944
"May 29, 2020",Seattle - Bremerton,Percentage Change,-0.828128588
"May 28, 2020",Seattle - Bremerton,Percentage Change,-0.807709155
"May 27, 2020",Seattle - Bremerton,Percentage Change,-0.828185606
"May 26, 2020",Seattle - Bremerton,Percentage Change,-0.835984556
"May 25, 2020",Seattle - Bremerton,Percentage Change,-0.840748740
"May 24, 2020",Seattle - Bremerton,Percentage Change,-0.811190818
"May 23, 2020",Seattle - Bremerton,Percentage Change,-0.749588631
"May 22, 2020",Seattle - Bremerton,Percentage Change,-0.814169570
"May 21, 2020",Seattle - Bremerton,Percentage Change,-0.844543678
"May 20, 2020",Seattle - Bremerton,Percentage Change,-0.808805606
"May 19, 2020",Seattle - Bremerton,Percentage Change,-0.815419797
"May 18, 2020",Seattle - Bremerton,Percentage Change,-0.815277084
"May 17, 2020",Seattle - Bremerton,Percentage Change,-0.837125576
"May 16, 2020",Seattle - Bremerton,Percentage Change,-0.874615997
"May 15, 2020",Seattle - Bremerton,Percentage Change,-0.827177439
"May 14, 2020",Seattle - Bremerton,Percentage Change,-0.840760633
"May 13, 2020",Seattle - Bremerton,Percentage Change,-0.851613867
"May 12, 2020",Seattle - Bremerton,Percentage Change,-0.851301115
"May 11, 2020",Seattle - Bremerton,Percentage Change,-0.820124959
"May 10, 2020",Seattle - Bremerton,Percentage Change,-0.782282944
"May 9, 2020",Seattle - Bremerton,Percentage Change,-0.776088743
"May 8, 2020",Seattle - Bremerton,Percentage Change,-0.833354914
"May 7, 2020",Seattle - Bremerton,Percentage Change,-0.836917563
"May 6, 2020",Seattle - Bremerton,Percentage Change,-0.838325335
"May 5, 2020",Seattle - Bremerton,Percentage Change,-0.856526071
"May 4, 2020",Seattle - Bremerton,Percentage Change,-0.842194956
"May 3, 2020",Seattle - Bremerton,Percentage Change,-0.845297030
"May 2, 2020",Seattle - Bremerton,Percentage Change,-0.878178368
"May 1, 2020",Seattle - Bremerton,Percentage Change,-0.855090849
"April 30, 2020",Seattle - Bremerton,Percentage Change,-0.853525940
"April 29, 2020",Seattle - Bremerton,Percentage Change,-0.875354531
"April 28, 2020",Seattle - Bremerton,Percentage Change,-0.873517787
"April 27, 2020",Seattle - Bremerton,Percentage Change,-0.859210753
"April 26, 2020",Seattle - Bremerton,Percentage Change,-0.893355959
"April 25, 2020",Seattle - Bremerton,Percentage Change,-0.894304027
"April 24, 2020",Seattle - Bremerton,Percentage Change,-0.887782913
"April 23, 2020",Seattle - Bremerton,Percentage Change,-0.889901291
"April 22, 2020",Seattle - Bremerton,Percentage Change,-0.884823848
"April 21, 2020",Seattle - Bremerton,Percentage Change,-0.882651391
"April 20, 2020",Seattle - Bremerton,Percentage Change,-0.874545455
"April 19, 2020",Seattle - Bremerton,Percentage Change,-0.873525248
"April 18, 2020",Seattle - Bremerton,Percentage Change,-0.886916836
"April 17, 2020",Seattle - Bremerton,Percentage Change,-0.886320335
"April 16, 2020",Seattle - Bremerton,Percentage Change,-0.891442613
"April 15, 2020",Seattle - Bremerton,Percentage Change,-0.892599969
"April 14, 2020",Seattle - Bremerton,Percentage Change,-0.883683360
"April 13, 2020",Seattle - Bremerton,Percentage Change,-0.893253088
"April 12, 2020",Seattle - Bremerton,Percentage Change,-0.904186795
"April 11, 2020",Seattle - Bremerton,Percentage Change,-0.909972615
"April 10, 2020",Seattle - Bremerton,Percentage Change,-0.896431245
"April 9, 2020",Seattle - Bremerton,Percentage Change,-0.889233954
"April 8, 2020",Seattle - Bremerton,Percentage Change,-0.885878228
"April 7, 2020",Seattle - Bremerton,Percentage Change,-0.886969646
"April 6, 2020",Seattle - Bremerton,Percentage Change,-0.875067024
"April 5, 2020",Seattle - Bremerton,Percentage Change,-0.888823414
"April 4, 2020",Seattle - Bremerton,Percentage Change,-0.887964424
"April 3, 2020",Seattle - Bremerton,Percentage Change,-0.892841896
"April 2, 2020",Seattle - Bremerton,Percentage Change,-0.911847673
"April 1, 2020",Seattle - Bremerton,Percentage Change,-0.886102719
"March 31, 2020",Seattle - Bremerton,Percentage Change,-0.880040763
"March 30, 2020",Seattle - Bremerton,Percentage Change,-0.883752244
"March 29, 2020",Seattle - Bremerton,Percentage Change,-0.918592965
"March 28, 2020",Seattle - Bremerton,Percentage Change,-0.913116474
"March 27, 2020",Seattle - Bremerton,Percentage Change,-0.862785155
"March 26, 2020",Seattle - Bremerton,Percentage Change,-0.864878230
"March 25, 2020",Seattle - Bremerton,Percentage Change,-0.784595511
"March 24, 2020",Seattle - Bremerton,Percentage Change,-0.798416469
"March 23, 2020",Seattle - Bremerton,Percentage Change,-0.744761905
"March 22, 2020",Seattle - Bremerton,Percentage Change,-0.801301301
"March 21, 2020",Seattle - Bremerton,Percentage Change,-0.841295812
"March 20, 2020",Seattle - Bremerton,Percentage Change,-0.718103812
"March 19, 2020",Seattle - Bremerton,Percentage Change,-0.731557961
"March 18, 2020",Seattle - Bremerton,Percentage Change,-0.686262182
"March 17, 2020",Seattle - Bremerton,Percentage Change,-0.666565626
"March 16, 2020",Seattle - Bremerton,Percentage Change,-0.585807050
"March 15, 2020",Seattle - Bremerton,Percentage Change,-0.708354495
"March 14, 2020",Seattle - Bremerton,Percentage Change,-0.736832043
"March 13, 2020",Seattle - Bremerton,Percentage Change,-0.559231837
"March 12, 2020",Seattle - Bremerton,Percentage Change,-0.530685001
"March 11, 2020",Seattle - Bremerton,Percentage Change,-0.510435931
"March 10, 2020",Seattle - Bremerton,Percentage Change,-0.370159453
"March 9, 2020",Seattle - Bremerton,Percentage Change,-0.316401573
"March 8, 2020",Seattle - Bremerton,Percentage Change,-0.329057446
"March 7, 2020",Seattle - Bremerton,Percentage Change,-0.311667340
"March 6, 2020",Seattle - Bremerton,Percentage Change,-0.198379948
"March 5, 2020",Seattle - Bremerton,Percentage Change,-0.231011165
"March 4, 2020",Seattle - Bremerton,Percentage Change,-0.169070114
"March 3, 2020",Seattle - Bremerton,Percentage Change,-0.146783059
"March 2, 2020",Seattle - Bremerton,Percentage Change,-0.144561882
"March 1, 2020",Seattle - Bremerton,Percentage Change,0.104849498
"June 3, 2020",Seattle - Bremerton,2020 Ridership,1123
"June 2, 2020",Seattle - Bremerton,2020 Ridership,1049
"June 1, 2020",Seattle - Bremerton,2020 Ridership,1091
"May 31, 2020",Seattle - Bremerton,2020 Ridership,827
"May 30, 2020",Seattle - Bremerton,2020 Ridership,1371
"May 29, 2020",Seattle - Bremerton,2020 Ridership,1497
"May 28, 2020",Seattle - Bremerton,2020 Ridership,1317
"May 27, 2020",Seattle - Bremerton,2020 Ridership,1196
"May 26, 2020",Seattle - Bremerton,2020 Ridership,1062
"May 25, 2020",Seattle - Bremerton,2020 Ridership,1106
"May 24, 2020",Seattle - Bremerton,2020 Ridership,1316
"May 23, 2020",Seattle - Bremerton,2020 Ridership,1674
"May 22, 2020",Seattle - Bremerton,2020 Ridership,1440
"May 21, 2020",Seattle - Bremerton,2020 Ridership,1114
"May 20, 2020",Seattle - Bremerton,2020 Ridership,1255
"May 19, 2020",Seattle - Bremerton,2020 Ridership,1130
"May 18, 2020",Seattle - Bremerton,2020 Ridership,1110
"May 17, 2020",Seattle - Bremerton,2020 Ridership,1131
"May 16, 2020",Seattle - Bremerton,2020 Ridership,1102
"May 15, 2020",Seattle - Bremerton,2020 Ridership,1385
"May 14, 2020",Seattle - Bremerton,2020 Ridership,1097
"May 13, 2020",Seattle - Bremerton,2020 Ridership,993
"May 12, 2020",Seattle - Bremerton,2020 Ridership,960
"May 11, 2020",Seattle - Bremerton,2020 Ridership,1094
"May 10, 2020",Seattle - Bremerton,2020 Ridership,1482
"May 9, 2020",Seattle - Bremerton,2020 Ridership,1635
"May 8, 2020",Seattle - Bremerton,2020 Ridership,1287
"May 7, 2020",Seattle - Bremerton,2020 Ridership,1092
"May 6, 2020",Seattle - Bremerton,2020 Ridership,977
"May 5, 2020",Seattle - Bremerton,2020 Ridership,864
"May 4, 2020",Seattle - Bremerton,2020 Ridership,926
"May 3, 2020",Seattle - Bremerton,2020 Ridership,875
"May 2, 2020",Seattle - Bremerton,2020 Ridership,963
"May 1, 2020",Seattle - Bremerton,2020 Ridership,1030
"April 30, 2020",Seattle - Bremerton,2020 Ridership,943
"April 29, 2020",Seattle - Bremerton,2020 Ridership,835
"April 28, 2020",Seattle - Bremerton,2020 Ridership,832
"April 27, 2020",Seattle - Bremerton,2020 Ridership,817
"April 26, 2020",Seattle - Bremerton,2020 Ridership,817
"April 25, 2020",Seattle - Bremerton,2020 Ridership,874
"April 24, 2020",Seattle - Bremerton,2020 Ridership,947
"April 23, 2020",Seattle - Bremerton,2020 Ridership,725
"April 22, 2020",Seattle - Bremerton,2020 Ridership,765
"April 21, 2020",Seattle - Bremerton,2020 Ridership,717
"April 20, 2020",Seattle - Bremerton,2020 Ridership,759
"April 19, 2020",Seattle - Bremerton,2020 Ridership,804
"April 18, 2020",Seattle - Bremerton,2020 Ridership,892
"April 17, 2020",Seattle - Bremerton,2020 Ridership,895
"April 16, 2020",Seattle - Bremerton,2020 Ridership,751
"April 15, 2020",Seattle - Bremerton,2020 Ridership,701
"April 14, 2020",Seattle - Bremerton,2020 Ridership,720
"April 13, 2020",Seattle - Bremerton,2020 Ridership,674
"April 12, 2020",Seattle - Bremerton,2020 Ridership,595
"April 11, 2020",Seattle - Bremerton,2020 Ridership,789
"April 10, 2020",Seattle - Bremerton,2020 Ridership,830
"April 9, 2020",Seattle - Bremerton,2020 Ridership,749
"April 8, 2020",Seattle - Bremerton,2020 Ridership,716
"April 7, 2020",Seattle - Bremerton,2020 Ridership,674
"April 6, 2020",Seattle - Bremerton,2020 Ridership,699
"April 5, 2020",Seattle - Bremerton,2020 Ridership,566
"April 4, 2020",Seattle - Bremerton,2020 Ridership,781
"April 3, 2020",Seattle - Bremerton,2020 Ridership,753
"April 2, 2020",Seattle - Bremerton,2020 Ridership,625
"April 1, 2020",Seattle - Bremerton,2020 Ridership,754
"March 31, 2020",Seattle - Bremerton,2020 Ridership,824
"March 30, 2020",Seattle - Bremerton,2020 Ridership,777
"March 29, 2020",Seattle - Bremerton,2020 Ridership,648
"March 28, 2020",Seattle - Bremerton,2020 Ridership,828
"March 27, 2020",Seattle - Bremerton,2020 Ridership,1209
"March 26, 2020",Seattle - Bremerton,2020 Ridership,1093
"March 25, 2020",Seattle - Bremerton,2020 Ridership,1334
"March 24, 2020",Seattle - Bremerton,2020 Ridership,1273
"March 23, 2020",Seattle - Bremerton,2020 Ridership,1608
"March 22, 2020",Seattle - Bremerton,2020 Ridership,1191
"March 21, 2020",Seattle - Bremerton,2020 Ridership,1455
"March 20, 2020",Seattle - Bremerton,2020 Ridership,2004
"March 19, 2020",Seattle - Bremerton,2020 Ridership,1885
"March 18, 2020",Seattle - Bremerton,2020 Ridership,1996
"March 17, 2020",Seattle - Bremerton,2020 Ridership,2200
"March 16, 2020",Seattle - Bremerton,2020 Ridership,2679
"March 15, 2020",Seattle - Bremerton,2020 Ridership,2297
"March 14, 2020",Seattle - Bremerton,2020 Ridership,2753
"March 13, 2020",Seattle - Bremerton,2020 Ridership,3810
"March 12, 2020",Seattle - Bremerton,2020 Ridership,3686
"March 11, 2020",Seattle - Bremerton,2020 Ridership,3706
"March 10, 2020",Seattle - Bremerton,2020 Ridership,3871
"March 9, 2020",Seattle - Bremerton,2020 Ridership,3997
"March 8, 2020",Seattle - Bremerton,2020 Ridership,3609
"March 7, 2020",Seattle - Bremerton,2020 Ridership,5115
"March 6, 2020",Seattle - Bremerton,2020 Ridership,5245
"March 5, 2020",Seattle - Bremerton,2020 Ridership,4890
"March 4, 2020",Seattle - Bremerton,2020 Ridership,5013
"March 3, 2020",Seattle - Bremerton,2020 Ridership,5278
"March 2, 2020",Seattle - Bremerton,2020 Ridership,5018
"March 1, 2020",Seattle - Bremerton,2020 Ridership,6607
"June 3, 2020",Seattle - Bremerton,2019     Ridership,6916
"June 2, 2020",Seattle - Bremerton,2019     Ridership,7116
"June 1, 2020",Seattle - Bremerton,2019     Ridership,6931
"May 31, 2020",Seattle - Bremerton,2019     Ridership,7192
"May 30, 2020",Seattle - Bremerton,2019     Ridership,8496
"May 29, 2020",Seattle - Bremerton,2019     Ridership,8710
"May 28, 2020",Seattle - Bremerton,2019     Ridership,6849
"May 27, 2020",Seattle - Bremerton,2019     Ridership,6961
"May 26, 2020",Seattle - Bremerton,2019     Ridership,6475
"May 25, 2020",Seattle - Bremerton,2019     Ridership,6945
"May 24, 2020",Seattle - Bremerton,2019     Ridership,6970
"May 23, 2020",Seattle - Bremerton,2019     Ridership,6685
"May 22, 2020",Seattle - Bremerton,2019     Ridership,7749
"May 21, 2020",Seattle - Bremerton,2019     Ridership,7166
"May 20, 2020",Seattle - Bremerton,2019     Ridership,6564
"May 19, 2020",Seattle - Bremerton,2019     Ridership,6122
"May 18, 2020",Seattle - Bremerton,2019     Ridership,6009
"May 17, 2020",Seattle - Bremerton,2019     Ridership,6944
"May 16, 2020",Seattle - Bremerton,2019     Ridership,8789
"May 15, 2020",Seattle - Bremerton,2019     Ridership,8014
"May 14, 2020",Seattle - Bremerton,2019     Ridership,6889
"May 13, 2020",Seattle - Bremerton,2019     Ridership,6692
"May 12, 2020",Seattle - Bremerton,2019     Ridership,6456
"May 11, 2020",Seattle - Bremerton,2019     Ridership,6082
"May 10, 2020",Seattle - Bremerton,2019     Ridership,6807
"May 9, 2020",Seattle - Bremerton,2019     Ridership,7302
"May 8, 2020",Seattle - Bremerton,2019     Ridership,7723
"May 7, 2020",Seattle - Bremerton,2019     Ridership,6696
"May 6, 2020",Seattle - Bremerton,2019     Ridership,6043
"May 5, 2020",Seattle - Bremerton,2019     Ridership,6022
"May 4, 2020",Seattle - Bremerton,2019     Ridership,5868
"May 3, 2020",Seattle - Bremerton,2019     Ridership,5656
"May 2, 2020",Seattle - Bremerton,2019     Ridership,7905
"May 1, 2020",Seattle - Bremerton,2019     Ridership,7103
"April 30, 2020",Seattle - Bremerton,2019     Ridership,6438
"April 29, 2020",Seattle - Bremerton,2019     Ridership,6699
"April 28, 2020",Seattle - Bremerton,2019     Ridership,6578
"April 27, 2020",Seattle - Bremerton,2019     Ridership,5803
"April 26, 2020",Seattle - Bremerton,2019     Ridership,7661
"April 25, 2020",Seattle - Bremerton,2019     Ridership,8269
"April 24, 2020",Seattle - Bremerton,2019     Ridership,8439
"April 23, 2020",Seattle - Bremerton,2019     Ridership,6585
"April 22, 2020",Seattle - Bremerton,2019     Ridership,6642
"April 21, 2020",Seattle - Bremerton,2019     Ridership,6110
"April 20, 2020",Seattle - Bremerton,2019     Ridership,6050
"April 19, 2020",Seattle - Bremerton,2019     Ridership,6357
"April 18, 2020",Seattle - Bremerton,2019     Ridership,7888
"April 17, 2020",Seattle - Bremerton,2019     Ridership,7873
"April 16, 2020",Seattle - Bremerton,2019     Ridership,6918
"April 15, 2020",Seattle - Bremerton,2019     Ridership,6527
"April 14, 2020",Seattle - Bremerton,2019     Ridership,6190
"April 13, 2020",Seattle - Bremerton,2019     Ridership,6314
"April 12, 2020",Seattle - Bremerton,2019     Ridership,6210
"April 11, 2020",Seattle - Bremerton,2019     Ridership,8764
"April 10, 2020",Seattle - Bremerton,2019     Ridership,8014
"April 9, 2020",Seattle - Bremerton,2019     Ridership,6762
"April 8, 2020",Seattle - Bremerton,2019     Ridership,6274
"April 7, 2020",Seattle - Bremerton,2019     Ridership,5963
"April 6, 2020",Seattle - Bremerton,2019     Ridership,5595
"April 5, 2020",Seattle - Bremerton,2019     Ridership,5091
"April 4, 2020",Seattle - Bremerton,2019     Ridership,6971
"April 3, 2020",Seattle - Bremerton,2019     Ridership,7027
"April 2, 2020",Seattle - Bremerton,2019     Ridership,7090
"April 1, 2020",Seattle - Bremerton,2019     Ridership,6620
"March 31, 2020",Seattle - Bremerton,2019     Ridership,6869
"March 30, 2020",Seattle - Bremerton,2019     Ridership,6684
"March 29, 2020",Seattle - Bremerton,2019     Ridership,7960
"March 28, 2020",Seattle - Bremerton,2019     Ridership,9530
"March 27, 2020",Seattle - Bremerton,2019     Ridership,8811
"March 26, 2020",Seattle - Bremerton,2019     Ridership,8089
"March 25, 2020",Seattle - Bremerton,2019     Ridership,6193
"March 24, 2020",Seattle - Bremerton,2019     Ridership,6315
"March 23, 2020",Seattle - Bremerton,2019     Ridership,6300
"March 22, 2020",Seattle - Bremerton,2019     Ridership,5994
"March 21, 2020",Seattle - Bremerton,2019     Ridership,9168
"March 20, 2020",Seattle - Bremerton,2019     Ridership,7109
"March 19, 2020",Seattle - Bremerton,2019     Ridership,7022
"March 18, 2020",Seattle - Bremerton,2019     Ridership,6362
"March 17, 2020",Seattle - Bremerton,2019     Ridership,6598
"March 16, 2020",Seattle - Bremerton,2019     Ridership,6468
"March 15, 2020",Seattle - Bremerton,2019     Ridership,7876
"March 14, 2020",Seattle - Bremerton,2019     Ridership,10461
"March 13, 2020",Seattle - Bremerton,2019     Ridership,8644
"March 12, 2020",Seattle - Bremerton,2019     Ridership,7854
"March 11, 2020",Seattle - Bremerton,2019     Ridership,7570
"March 10, 2020",Seattle - Bremerton,2019     Ridership,6146
"March 9, 2020",Seattle - Bremerton,2019     Ridership,5847
"March 8, 2020",Seattle - Bremerton,2019     Ridership,5379
"March 7, 2020",Seattle - Bremerton,2019     Ridership,7431
"March 6, 2020",Seattle - Bremerton,2019     Ridership,6543
"March 5, 2020",Seattle - Bremerton,2019     Ridership,6359
"March 4, 2020",Seattle - Bremerton,2019     Ridership,6033
"March 3, 2020",Seattle - Bremerton,2019     Ridership,6186
"March 2, 2020",Seattle - Bremerton,2019     Ridership,5866
"March 1, 2020",Seattle - Bremerton,2019     Ridership,5980
