County,City,Location,Type,date,value,roll_mean
King,Seattle,7th Ave and Blanchard,Bicycle,3/1/2020,28,NA
King,Seattle,Burk Gilman,Bicycle,3/1/2020,900,NA
King,Seattle,Elliot Bay,Bicycle,3/1/2020,782,NA
King,Seattle,Fremont Bridge,Bicycle,3/1/2020,1310,NA
King,Seattle,Spokane Bridge,Bicycle,3/1/2020,453,NA
King,Seattle,7th Ave and Blanchard,Bicycle,3/2/2020,67,NA
King,Seattle,Burk Gilman,Bicycle,3/2/2020,380,NA
King,Seattle,Elliot Bay,Bicycle,3/2/2020,885,NA
King,Seattle,Fremont Bridge,Bicycle,3/2/2020,2972,NA
King,Seattle,Spokane Bridge,Bicycle,3/2/2020,740,NA
King,Seattle,7th Ave and Blanchard,Bicycle,3/3/2020,81,NA
King,Seattle,Burk Gilman,Bicycle,3/3/2020,618,NA
King,Seattle,Elliot Bay,Bicycle,3/3/2020,1074,NA
King,Seattle,Fremont Bridge,Bicycle,3/3/2020,3582,NA
King,Seattle,Spokane Bridge,Bicycle,3/3/2020,842,NA
King,Seattle,7th Ave and Blanchard,Bicycle,3/4/2020,88,50.42857143
King,Seattle,Burk Gilman,Bicycle,3/4/2020,884,610.2857143
King,Seattle,Elliot Bay,Bicycle,3/4/2020,1436,887.2857143
King,Seattle,Fremont Bridge,Bicycle,3/4/2020,3715,2381.857143
King,Seattle,Spokane Bridge,Bicycle,3/4/2020,936,614.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,3/5/2020,39,49.14285714
King,Seattle,Burk Gilman,Bicycle,3/5/2020,568,636
King,Seattle,Elliot Bay,Bicycle,3/5/2020,975,884
King,Seattle,Fremont Bridge,Bicycle,3/5/2020,2634,2379.571429
King,Seattle,Spokane Bridge,Bicycle,3/5/2020,701,613.1428571
King,Seattle,7th Ave and Blanchard,Bicycle,3/6/2020,31,43.42857143
King,Seattle,Burk Gilman,Bicycle,3/6/2020,374,697.5714286
King,Seattle,Elliot Bay,Bicycle,3/6/2020,569,917.2857143
King,Seattle,Fremont Bridge,Bicycle,3/6/2020,1451,2309.142857
King,Seattle,Spokane Bridge,Bicycle,3/6/2020,365,598.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,3/7/2020,19,36
King,Seattle,Burk Gilman,Bicycle,3/7/2020,548,686.8571429
King,Seattle,Elliot Bay,Bicycle,3/7/2020,490,896.1428571
King,Seattle,Fremont Bridge,Bicycle,3/7/2020,1009,2107.857143
King,Seattle,Spokane Bridge,Bicycle,3/7/2020,267,564.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,3/8/2020,19,27.85714286
King,Seattle,Burk Gilman,Bicycle,3/8/2020,1080,659.8571429
King,Seattle,Elliot Bay,Bicycle,3/8/2020,759,815.8571429
King,Seattle,Fremont Bridge,Bicycle,3/8/2020,1294,1901.428571
King,Seattle,Spokane Bridge,Bicycle,3/8/2020,441,513.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,3/9/2020,27,27
King,Seattle,Burk Gilman,Bicycle,3/9/2020,811,666.7142857
King,Seattle,Elliot Bay,Bicycle,3/9/2020,1118,797.8571429
King,Seattle,Fremont Bridge,Bicycle,3/9/2020,2479,1801.857143
King,Seattle,Spokane Bridge,Bicycle,3/9/2020,636,500.7142857
King,Seattle,7th Ave and Blanchard,Bicycle,3/10/2020,29,25.71428571
King,Seattle,Burk Gilman,Bicycle,3/10/2020,543,635.8571429
King,Seattle,Elliot Bay,Bicycle,3/10/2020,926,759.8571429
King,Seattle,Fremont Bridge,Bicycle,3/10/2020,2173,1714.285714
King,Seattle,Spokane Bridge,Bicycle,3/10/2020,606,485.1428571
King,Seattle,7th Ave and Blanchard,Bicycle,3/11/2020,31,25.42857143
King,Seattle,Burk Gilman,Bicycle,3/11/2020,695,679.5714286
King,Seattle,Elliot Bay,Bicycle,3/11/2020,874,762.4285714
King,Seattle,Fremont Bridge,Bicycle,3/11/2020,2270,1719.285714
King,Seattle,Spokane Bridge,Bicycle,3/11/2020,581,485.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,3/12/2020,33,25
King,Seattle,Burk Gilman,Bicycle,3/12/2020,616,721.5714286
King,Seattle,Elliot Bay,Bicycle,3/12/2020,849,778
King,Seattle,Fremont Bridge,Bicycle,3/12/2020,1937,1714.857143
King,Seattle,Spokane Bridge,Bicycle,3/12/2020,609,484.1428571
King,Seattle,7th Ave and Blanchard,Bicycle,3/13/2020,22,23.85714286
King,Seattle,Burk Gilman,Bicycle,3/13/2020,158,745.1428571
King,Seattle,Elliot Bay,Bicycle,3/13/2020,303,758.4285714
King,Seattle,Fremont Bridge,Bicycle,3/13/2020,838,1637.142857
King,Seattle,Spokane Bridge,Bicycle,3/13/2020,256,465.7142857
King,Seattle,7th Ave and Blanchard,Bicycle,3/14/2020,17,21.14285714
King,Seattle,Burk Gilman,Bicycle,3/14/2020,854,820
King,Seattle,Elliot Bay,Bicycle,3/14/2020,508,757.5714286
King,Seattle,Fremont Bridge,Bicycle,3/14/2020,1044,1604.142857
King,Seattle,Spokane Bridge,Bicycle,3/14/2020,268,451.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,3/15/2020,16,20.28571429
King,Seattle,Burk Gilman,Bicycle,3/15/2020,1374,924.4285714
King,Seattle,Elliot Bay,Bicycle,3/15/2020,868,810.4285714
King,Seattle,Fremont Bridge,Bicycle,3/15/2020,1263,1616.571429
King,Seattle,Spokane Bridge,Bicycle,3/15/2020,433,469.1428571
King,Seattle,7th Ave and Blanchard,Bicycle,3/16/2020,19,20
King,Seattle,Burk Gilman,Bicycle,3/16/2020,976,1074.142857
King,Seattle,Elliot Bay,Bicycle,3/16/2020,981,886
King,Seattle,Fremont Bridge,Bicycle,3/16/2020,1935,1675.142857
King,Seattle,Spokane Bridge,Bicycle,3/16/2020,507,475
King,Seattle,7th Ave and Blanchard,Bicycle,3/17/2020,10,19.28571429
King,Seattle,Burk Gilman,Bicycle,3/17/2020,1067,1293
King,Seattle,Elliot Bay,Bicycle,3/17/2020,920,1050.428571
King,Seattle,Fremont Bridge,Bicycle,3/17/2020,1942,1906.428571
King,Seattle,Spokane Bridge,Bicycle,3/17/2020,505,535.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,3/18/2020,25,20.14285714
King,Seattle,Burk Gilman,Bicycle,3/18/2020,1426,1521.571429
King,Seattle,Elliot Bay,Bicycle,3/18/2020,1244,1229.571429
King,Seattle,Fremont Bridge,Bicycle,3/18/2020,2357,2139.857143
King,Seattle,Spokane Bridge,Bicycle,3/18/2020,706,626.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,3/19/2020,31,19
King,Seattle,Burk Gilman,Bicycle,3/19/2020,1664,1624.428571
King,Seattle,Elliot Bay,Bicycle,3/19/2020,1378,1286.571429
King,Seattle,Fremont Bridge,Bicycle,3/19/2020,2347,2260.857143
King,Seattle,Spokane Bridge,Bicycle,3/19/2020,650,660.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,3/20/2020,17,18.71428571
King,Seattle,Burk Gilman,Bicycle,3/20/2020,1690,1586.571429
King,Seattle,Elliot Bay,Bicycle,3/20/2020,1454,1217.428571
King,Seattle,Fremont Bridge,Bicycle,3/20/2020,2457,2169.285714
King,Seattle,Spokane Bridge,Bicycle,3/20/2020,682,635.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,3/21/2020,23,19.28571429
King,Seattle,Burk Gilman,Bicycle,3/21/2020,2454,1524
King,Seattle,Elliot Bay,Bicycle,3/21/2020,1762,1158.142857
King,Seattle,Fremont Bridge,Bicycle,3/21/2020,2678,2055.857143
King,Seattle,Spokane Bridge,Bicycle,3/21/2020,903,615.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,3/22/2020,8,17.85714286
King,Seattle,Burk Gilman,Bicycle,3/22/2020,2094,1448
King,Seattle,Elliot Bay,Bicycle,3/22/2020,1267,1089.571429
King,Seattle,Fremont Bridge,Bicycle,3/22/2020,2110,1917.714286
King,Seattle,Spokane Bridge,Bicycle,3/22/2020,670,577.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,3/23/2020,17,16.42857143
King,Seattle,Burk Gilman,Bicycle,3/23/2020,711,1323.142857
King,Seattle,Elliot Bay,Bicycle,3/23/2020,497,962.7142857
King,Seattle,Fremont Bridge,Bicycle,3/23/2020,1294,1750.714286
King,Seattle,Spokane Bridge,Bicycle,3/23/2020,335,549.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,3/24/2020,14,16
King,Seattle,Burk Gilman,Bicycle,3/24/2020,629,1168.571429
King,Seattle,Elliot Bay,Bicycle,3/24/2020,505,823.4285714
King,Seattle,Fremont Bridge,Bicycle,3/24/2020,1148,1540.428571
King,Seattle,Spokane Bridge,Bicycle,3/24/2020,363,504.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,3/25/2020,15,15.85714286
King,Seattle,Burk Gilman,Bicycle,3/25/2020,894,983.8571429
King,Seattle,Elliot Bay,Bicycle,3/25/2020,764,680.5714286
King,Seattle,Fremont Bridge,Bicycle,3/25/2020,1390,1366.142857
King,Seattle,Spokane Bridge,Bicycle,3/25/2020,438,434.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,3/26/2020,21,16.57142857
King,Seattle,Burk Gilman,Bicycle,3/26/2020,790,1051.142857
King,Seattle,Elliot Bay,Bicycle,3/26/2020,490,767.2857143
King,Seattle,Fremont Bridge,Bicycle,3/26/2020,1178,1474.285714
King,Seattle,Spokane Bridge,Bicycle,3/26/2020,456,484.7142857
