County,City,Location,Type,date,value,roll_mean
King,Seattle,7th Ave and Blanchard,Bicycle,3/27/2020,14,16
King,Seattle,Burk Gilman,Bicycle,3/27/2020,608,1007.857143
King,Seattle,Elliot Bay,Bicycle,3/27/2020,479,733.2857143
King,Seattle,Fremont Bridge,Bicycle,3/27/2020,985,1391.714286
King,Seattle,Spokane Bridge,Bicycle,3/27/2020,367,463.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,3/28/2020,22,15.71428571
King,Seattle,Burk Gilman,Bicycle,3/28/2020,1161,1014.857143
King,Seattle,Elliot Bay,Bicycle,3/28/2020,762,738.8571429
King,Seattle,Fremont Bridge,Bicycle,3/28/2020,1458,1379.714286
King,Seattle,Spokane Bridge,Bicycle,3/28/2020,415,455.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,3/29/2020,13,16.42857143
King,Seattle,Burk Gilman,Bicycle,3/29/2020,2565,1046
King,Seattle,Elliot Bay,Bicycle,3/29/2020,1874,773.1428571
King,Seattle,Fremont Bridge,Bicycle,3/29/2020,2867,1434.857143
King,Seattle,Spokane Bridge,Bicycle,3/29/2020,1019,475.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,3/30/2020,13,16
King,Seattle,Burk Gilman,Bicycle,3/30/2020,408,1075.571429
King,Seattle,Elliot Bay,Bicycle,3/30/2020,259,816.8571429
King,Seattle,Fremont Bridge,Bicycle,3/30/2020,716,1472.285714
King,Seattle,Spokane Bridge,Bicycle,3/30/2020,187,484.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,3/31/2020,12,16.42857143
King,Seattle,Burk Gilman,Bicycle,3/31/2020,678,1082.857143
King,Seattle,Elliot Bay,Bicycle,3/31/2020,544,816
King,Seattle,Fremont Bridge,Bicycle,3/31/2020,1064,1473.571429
King,Seattle,Spokane Bridge,Bicycle,3/31/2020,309,490.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,4/1/2020,20,15.71428571
King,Seattle,Burk Gilman,Bicycle,4/1/2020,1112,1281.714286
King,Seattle,Elliot Bay,Bicycle,4/1/2020,1004,955
King,Seattle,Fremont Bridge,Bicycle,4/1/2020,1776,1654.142857
King,Seattle,Spokane Bridge,Bicycle,4/1/2020,574,582.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,4/2/2020,18,16.42857143
King,Seattle,Burk Gilman,Bicycle,4/2/2020,997,1197.142857
King,Seattle,Elliot Bay,Bicycle,4/2/2020,796,897.8571429
King,Seattle,Fremont Bridge,Bicycle,4/2/2020,1440,1588.285714
King,Seattle,Spokane Bridge,Bicycle,4/2/2020,521,552.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,4/3/2020,17,16.71428571
King,Seattle,Burk Gilman,Bicycle,4/3/2020,659,1362.571429
King,Seattle,Elliot Bay,Bicycle,4/3/2020,473,1057.142857
King,Seattle,Fremont Bridge,Bicycle,4/3/2020,994,1800.571429
King,Seattle,Spokane Bridge,Bicycle,4/3/2020,407,630.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,4/4/2020,17,19.14285714
King,Seattle,Burk Gilman,Bicycle,4/4/2020,2553,1432.285714
King,Seattle,Elliot Bay,Bicycle,4/4/2020,1735,1142.285714
King,Seattle,Fremont Bridge,Bicycle,4/4/2020,2722,1919.285714
King,Seattle,Spokane Bridge,Bicycle,4/4/2020,1059,679.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,4/5/2020,18,20.57142857
King,Seattle,Burk Gilman,Bicycle,4/5/2020,1973,1513.857143
King,Seattle,Elliot Bay,Bicycle,4/5/2020,1474,1222.571429
King,Seattle,Fremont Bridge,Bicycle,4/5/2020,2406,1986
King,Seattle,Spokane Bridge,Bicycle,4/5/2020,811,714.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,4/6/2020,15,21.57142857
King,Seattle,Burk Gilman,Bicycle,4/6/2020,1566,1655.571429
King,Seattle,Elliot Bay,Bicycle,4/6/2020,1374,1342.714286
King,Seattle,Fremont Bridge,Bicycle,4/6/2020,2202,2177.142857
King,Seattle,Spokane Bridge,Bicycle,4/6/2020,732,780
King,Seattle,7th Ave and Blanchard,Bicycle,4/7/2020,29,22.42857143
King,Seattle,Burk Gilman,Bicycle,4/7/2020,1166,1785.285714
King,Seattle,Elliot Bay,Bicycle,4/7/2020,1140,1479.428571
King,Seattle,Fremont Bridge,Bicycle,4/7/2020,1895,2403
King,Seattle,Spokane Bridge,Bicycle,4/7/2020,655,842.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,4/8/2020,30,23.14285714
King,Seattle,Burk Gilman,Bicycle,4/8/2020,1683,1688.142857
King,Seattle,Elliot Bay,Bicycle,4/8/2020,1566,1460.428571
King,Seattle,Fremont Bridge,Bicycle,4/8/2020,2243,2372.142857
King,Seattle,Spokane Bridge,Bicycle,4/8/2020,816,830.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,4/9/2020,25,23.14285714
King,Seattle,Burk Gilman,Bicycle,4/9/2020,1989,1741.714286
King,Seattle,Elliot Bay,Bicycle,4/9/2020,1637,1548.428571
King,Seattle,Fremont Bridge,Bicycle,4/9/2020,2778,2459.571429
King,Seattle,Spokane Bridge,Bicycle,4/9/2020,980,902.7142857
King,Seattle,7th Ave and Blanchard,Bicycle,4/10/2020,23,25.14285714
King,Seattle,Burk Gilman,Bicycle,4/10/2020,1567,1728.714286
King,Seattle,Elliot Bay,Bicycle,4/10/2020,1430,1541
King,Seattle,Fremont Bridge,Bicycle,4/10/2020,2575,2445.714286
King,Seattle,Spokane Bridge,Bicycle,4/10/2020,843,904.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,4/11/2020,22,25.42857143
King,Seattle,Burk Gilman,Bicycle,4/11/2020,1873,1792.285714
King,Seattle,Elliot Bay,Bicycle,4/11/2020,1602,1588.285714
King,Seattle,Fremont Bridge,Bicycle,4/11/2020,2506,2514.142857
King,Seattle,Spokane Bridge,Bicycle,4/11/2020,977,926.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,4/12/2020,18,23.14285714
King,Seattle,Burk Gilman,Bicycle,4/12/2020,2348,1777.142857
King,Seattle,Elliot Bay,Bicycle,4/12/2020,2090,1548.142857
King,Seattle,Fremont Bridge,Bicycle,4/12/2020,3018,2507.142857
King,Seattle,Spokane Bridge,Bicycle,4/12/2020,1316,923.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,4/13/2020,29,23.42857143
King,Seattle,Burk Gilman,Bicycle,4/13/2020,1475,1780.428571
King,Seattle,Elliot Bay,Bicycle,4/13/2020,1322,1593.714286
King,Seattle,Fremont Bridge,Bicycle,4/13/2020,2105,2523.571429
King,Seattle,Spokane Bridge,Bicycle,4/13/2020,747,948.1428571
King,Seattle,7th Ave and Blanchard,Bicycle,4/14/2020,31,25
King,Seattle,Burk Gilman,Bicycle,4/14/2020,1611,1809.571429
King,Seattle,Elliot Bay,Bicycle,4/14/2020,1471,1614.428571
King,Seattle,Fremont Bridge,Bicycle,4/14/2020,2374,2503
King,Seattle,Spokane Bridge,Bicycle,4/14/2020,809,968.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,4/15/2020,14,24.71428571
King,Seattle,Burk Gilman,Bicycle,4/15/2020,1577,1700.142857
King,Seattle,Elliot Bay,Bicycle,4/15/2020,1285,1523.571429
King,Seattle,Fremont Bridge,Bicycle,4/15/2020,2194,2385.857143
King,Seattle,Spokane Bridge,Bicycle,4/15/2020,791,913.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,4/16/2020,27,27
King,Seattle,Burk Gilman,Bicycle,4/16/2020,2012,1829.428571
King,Seattle,Elliot Bay,Bicycle,4/16/2020,1956,1589.714286
King,Seattle,Fremont Bridge,Bicycle,4/16/2020,2893,2472.857143
King,Seattle,Spokane Bridge,Bicycle,4/16/2020,1154,957.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,4/17/2020,34,30.71428571
King,Seattle,Burk Gilman,Bicycle,4/17/2020,1771,1862.857143
King,Seattle,Elliot Bay,Bicycle,4/17/2020,1575,1640
King,Seattle,Fremont Bridge,Bicycle,4/17/2020,2431,2563
King,Seattle,Spokane Bridge,Bicycle,4/17/2020,986,994.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,4/18/2020,20,29.14285714
King,Seattle,Burk Gilman,Bicycle,4/18/2020,1107,1777.571429
King,Seattle,Elliot Bay,Bicycle,4/18/2020,966,1530
King,Seattle,Fremont Bridge,Bicycle,4/18/2020,1686,2452.285714
King,Seattle,Spokane Bridge,Bicycle,4/18/2020,594,957.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,4/19/2020,34,28.71428571
King,Seattle,Burk Gilman,Bicycle,4/19/2020,3253,1593.428571
King,Seattle,Elliot Bay,Bicycle,4/19/2020,2553,1377.857143
King,Seattle,Fremont Bridge,Bicycle,4/19/2020,3627,2215.428571
King,Seattle,Spokane Bridge,Bicycle,4/19/2020,1622,879
King,Seattle,7th Ave and Blanchard,Bicycle,4/20/2020,55,28.42857143
King,Seattle,Burk Gilman,Bicycle,4/20/2020,1709,1398.714286
King,Seattle,Elliot Bay,Bicycle,4/20/2020,1674,1187.142857
King,Seattle,Fremont Bridge,Bicycle,4/20/2020,2736,1965.857143
King,Seattle,Spokane Bridge,Bicycle,4/20/2020,1004,782.7142857
King,Seattle,7th Ave and Blanchard,Bicycle,4/21/2020,20,26.42857143
King,Seattle,Burk Gilman,Bicycle,4/21/2020,1014,1385
King,Seattle,Elliot Bay,Bicycle,4/21/2020,701,1152.285714
King,Seattle,Fremont Bridge,Bicycle,4/21/2020,1599,1956.714286
King,Seattle,Spokane Bridge,Bicycle,4/21/2020,551,761
King,Seattle,7th Ave and Blanchard,Bicycle,4/22/2020,11,27.42857143
King,Seattle,Burk Gilman,Bicycle,4/22/2020,288,1447.857143
King,Seattle,Elliot Bay,Bicycle,4/22/2020,220,1190.714286
King,Seattle,Fremont Bridge,Bicycle,4/22/2020,536,2019
King,Seattle,Spokane Bridge,Bicycle,4/22/2020,242,784.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,4/23/2020,25,26.28571429
King,Seattle,Burk Gilman,Bicycle,4/23/2020,649,1380.428571
King,Seattle,Elliot Bay,Bicycle,4/23/2020,621,1163.857143
King,Seattle,Fremont Bridge,Bicycle,4/23/2020,1146,1953.142857
King,Seattle,Spokane Bridge,Bicycle,4/23/2020,480,767.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,4/24/2020,20,21.71428571
King,Seattle,Burk Gilman,Bicycle,4/24/2020,1675,1309.571429
King,Seattle,Elliot Bay,Bicycle,4/24/2020,1331,1080.857143
King,Seattle,Fremont Bridge,Bicycle,4/24/2020,2367,1839.142857
King,Seattle,Spokane Bridge,Bicycle,4/24/2020,834,718.2857143
King,Seattle,7th Ave and Blanchard,Bicycle,4/25/2020,27,22.28571429
King,Seattle,Burk Gilman,Bicycle,4/25/2020,1547,1334.428571
King,Seattle,Elliot Bay,Bicycle,4/25/2020,1235,1121.714286
King,Seattle,Fremont Bridge,Bicycle,4/25/2020,2122,1875.428571
King,Seattle,Spokane Bridge,Bicycle,4/25/2020,757,743.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,4/26/2020,26,22.85714286
King,Seattle,Burk Gilman,Bicycle,4/26/2020,2781,1487.571429
King,Seattle,Elliot Bay,Bicycle,4/26/2020,2365,1257.571429
King,Seattle,Fremont Bridge,Bicycle,4/26/2020,3166,2092.285714
King,Seattle,Spokane Bridge,Bicycle,4/26/2020,1505,819.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,4/27/2020,23,24.42857143
King,Seattle,Burk Gilman,Bicycle,4/27/2020,1213,1550.714286
King,Seattle,Elliot Bay,Bicycle,4/27/2020,1093,1316
King,Seattle,Fremont Bridge,Bicycle,4/27/2020,1938,2213.285714
King,Seattle,Spokane Bridge,Bicycle,4/27/2020,659,853.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,4/28/2020,24,25.85714286
King,Seattle,Burk Gilman,Bicycle,4/28/2020,1188,1630.142857
King,Seattle,Elliot Bay,Bicycle,4/28/2020,987,1380.857143
King,Seattle,Fremont Bridge,Bicycle,4/28/2020,1853,2325.428571
King,Seattle,Spokane Bridge,Bicycle,4/28/2020,727,906
King,Seattle,7th Ave and Blanchard,Bicycle,4/29/2020,15,23.14285714
King,Seattle,Burk Gilman,Bicycle,4/29/2020,1360,1492.142857
King,Seattle,Elliot Bay,Bicycle,4/29/2020,1171,1282.714286
King,Seattle,Fremont Bridge,Bicycle,4/29/2020,2054,2148.428571
King,Seattle,Spokane Bridge,Bicycle,4/29/2020,774,842.1428571
King,Seattle,7th Ave and Blanchard,Bicycle,4/30/2020,36,22.14285714
King,Seattle,Burk Gilman,Bicycle,4/30/2020,1091,1397.285714
King,Seattle,Elliot Bay,Bicycle,4/30/2020,1030,1215
King,Seattle,Fremont Bridge,Bicycle,4/30/2020,1993,2126.142857
King,Seattle,Spokane Bridge,Bicycle,4/30/2020,718,800.7142857
King,Seattle,7th Ave and Blanchard,Bicycle,5/1/2020,30,21
King,Seattle,Burk Gilman,Bicycle,5/1/2020,2231,1415.142857
King,Seattle,Elliot Bay,Bicycle,5/1/2020,1785,1220.571429
King,Seattle,Fremont Bridge,Bicycle,5/1/2020,3152,2130.857143
King,Seattle,Spokane Bridge,Bicycle,5/1/2020,1202,819.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,5/2/2020,8,22.28571429
King,Seattle,Burk Gilman,Bicycle,5/2/2020,581,1500.857143
King,Seattle,Elliot Bay,Bicycle,5/2/2020,548,1332.571429
King,Seattle,Fremont Bridge,Bicycle,5/2/2020,883,2248.142857
King,Seattle,Spokane Bridge,Bicycle,5/2/2020,310,855.8571429
King,Seattle,7th Ave and Blanchard,Bicycle,5/3/2020,19,22.85714286
King,Seattle,Burk Gilman,Bicycle,5/3/2020,2117,1411.142857
King,Seattle,Elliot Bay,Bicycle,5/3/2020,1891,1289.285714
King,Seattle,Fremont Bridge,Bicycle,5/3/2020,3010,2162.428571
King,Seattle,Spokane Bridge,Bicycle,5/3/2020,1215,822
King,Seattle,7th Ave and Blanchard,Bicycle,5/4/2020,15,21.28571429
King,Seattle,Burk Gilman,Bicycle,5/4/2020,1338,1550.714286
King,Seattle,Elliot Bay,Bicycle,5/4/2020,1132,1402.857143
King,Seattle,Fremont Bridge,Bicycle,5/4/2020,1971,2283
King,Seattle,Spokane Bridge,Bicycle,5/4/2020,793,900.5714286
King,Seattle,7th Ave and Blanchard,Bicycle,5/5/2020,33,21.28571429
King,Seattle,Burk Gilman,Bicycle,5/5/2020,1788,1551
King,Seattle,Elliot Bay,Bicycle,5/5/2020,1771,1412.714286
King,Seattle,Fremont Bridge,Bicycle,5/5/2020,2674,2293.857143
King,Seattle,Spokane Bridge,Bicycle,5/5/2020,979,926.1428571
King,Seattle,7th Ave and Blanchard,Bicycle,5/6/2020,19,24.57142857
King,Seattle,Burk Gilman,Bicycle,5/6/2020,732,1922.285714
King,Seattle,Elliot Bay,Bicycle,5/6/2020,868,1698.428571
King,Seattle,Fremont Bridge,Bicycle,5/6/2020,1454,2681.428571
King,Seattle,Spokane Bridge,Bicycle,5/6/2020,537,1132
King,Seattle,7th Ave and Blanchard,Bicycle,5/7/2020,25,25
King,Seattle,Burk Gilman,Bicycle,5/7/2020,2068,1978.714286
King,Seattle,Elliot Bay,Bicycle,5/7/2020,1825,1739.571429
King,Seattle,Fremont Bridge,Bicycle,5/7/2020,2837,2687
King,Seattle,Spokane Bridge,Bicycle,5/7/2020,1268,1143.428571
King,Seattle,7th Ave and Blanchard,Bicycle,5/8/2020,30,26.14285714
King,Seattle,Burk Gilman,Bicycle,5/8/2020,2233,1972.428571
King,Seattle,Elliot Bay,Bicycle,5/8/2020,1854,1720
King,Seattle,Fremont Bridge,Bicycle,5/8/2020,3228,2665.857143
King,Seattle,Spokane Bridge,Bicycle,5/8/2020,1381,1149.857143
King,Seattle,7th Ave and Blanchard,Bicycle,5/9/2020,31,24.28571429
King,Seattle,Burk Gilman,Bicycle,5/9/2020,3180,1850.285714
King,Seattle,Elliot Bay,Bicycle,5/9/2020,2548,1575.142857
King,Seattle,Fremont Bridge,Bicycle,5/9/2020,3596,2504.428571
King,Seattle,Spokane Bridge,Bicycle,5/9/2020,1751,1084.285714
King,Seattle,7th Ave and Blanchard,Bicycle,5/10/2020,22,24.28571429
King,Seattle,Burk Gilman,Bicycle,5/10/2020,2512,1951.428571
King,Seattle,Elliot Bay,Bicycle,5/10/2020,2179,1637.571429
King,Seattle,Fremont Bridge,Bicycle,5/10/2020,3049,2639.571429
King,Seattle,Spokane Bridge,Bicycle,5/10/2020,1295,1132.714286
King,Seattle,7th Ave and Blanchard,Bicycle,5/11/2020,23,25.14285714
King,Seattle,Burk Gilman,Bicycle,5/11/2020,1294,1820.857143
King,Seattle,Elliot Bay,Bicycle,5/11/2020,995,1555.142857
King,Seattle,Fremont Bridge,Bicycle,5/11/2020,1823,2516.571429
King,Seattle,Spokane Bridge,Bicycle,5/11/2020,838,1066.857143
King,Seattle,7th Ave and Blanchard,Bicycle,5/12/2020,20,25.85714286
King,Seattle,Burk Gilman,Bicycle,5/12/2020,933,1834.428571
King,Seattle,Elliot Bay,Bicycle,5/12/2020,757,1580.285714
King,Seattle,Fremont Bridge,Bicycle,5/12/2020,1544,2514.142857
King,Seattle,Spokane Bridge,Bicycle,5/12/2020,520,1066.571429
King,Seattle,7th Ave and Blanchard,Bicycle,5/13/2020,19,23.71428571
King,Seattle,Burk Gilman,Bicycle,5/13/2020,1440,1502.428571
King,Seattle,Elliot Bay,Bicycle,5/13/2020,1305,1287.571429
King,Seattle,Fremont Bridge,Bicycle,5/13/2020,2400,2139.285714
King,Seattle,Spokane Bridge,Bicycle,5/13/2020,876,869.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,5/14/2020,31,25.57142857
King,Seattle,Burk Gilman,Bicycle,5/14/2020,1154,1544.857143
King,Seattle,Elliot Bay,Bicycle,5/14/2020,1248,1302.714286
King,Seattle,Fremont Bridge,Bicycle,5/14/2020,1976,2182.857143
King,Seattle,Spokane Bridge,Bicycle,5/14/2020,807,889.4285714
King,Seattle,7th Ave and Blanchard,Bicycle,5/15/2020,35,26.28571429
