Day of Date 2020,Transit Agency,Avg. PercentNorm%,Sum of Agency Order ID
"Sun, 05/10/20",Everett Transit,,10
"Sat, 05/09/20",Everett Transit,-57%,10
"Fri, 05/08/20",Everett Transit,-70%,10
"Thu, 05/07/20",Everett Transit,-74%,10
"Wed, 05/06/20",Everett Transit,-72%,10
"Tue, 05/05/20",Everett Transit,-70%,10
"Mon, 05/04/20",Everett Transit,-69%,10
"Sun, 05/03/20",Everett Transit,,10
"Sat, 05/02/20",Everett Transit,-64%,10
"Fri, 05/01/20",Everett Transit,-67%,10
"Thu, 04/30/20",Everett Transit,-75%,10
"Wed, 04/29/20",Everett Transit,-72%,10
"Tue, 04/28/20",Everett Transit,-72%,10
"Mon, 04/27/20",Everett Transit,-72%,10
"Sun, 04/26/20",Everett Transit,,10
"Sat, 04/25/20",Everett Transit,-62%,10
"Fri, 04/24/20",Everett Transit,-71%,10
"Thu, 04/23/20",Everett Transit,-76%,10
"Wed, 04/22/20",Everett Transit,-78%,10
"Tue, 04/21/20",Everett Transit,-75%,10
"Mon, 04/20/20",Everett Transit,-71%,10
"Sun, 04/19/20",Everett Transit,,10
"Sat, 04/18/20",Everett Transit,-66%,10
"Fri, 04/17/20",Everett Transit,-71%,10
"Thu, 04/16/20",Everett Transit,-73%,10
"Wed, 04/15/20",Everett Transit,-76%,10
"Tue, 04/14/20",Everett Transit,-74%,10
"Mon, 04/13/20",Everett Transit,-74%,10
"Sun, 04/12/20",Everett Transit,,10
"Sat, 04/11/20",Everett Transit,-64%,10
"Fri, 04/10/20",Everett Transit,-75%,10
"Thu, 04/09/20",Everett Transit,-75%,10
"Wed, 04/08/20",Everett Transit,-73%,10
"Tue, 04/07/20",Everett Transit,-76%,10
"Mon, 04/06/20",Everett Transit,-73%,10
"Sun, 04/05/20",Everett Transit,,10
"Sat, 04/04/20",Everett Transit,-59%,10
"Fri, 04/03/20",Everett Transit,-66%,10
"Thu, 04/02/20",Everett Transit,-79%,10
"Wed, 04/01/20",Everett Transit,-73%,10
"Tue, 03/31/20",Everett Transit,-79%,10
"Mon, 03/30/20",Everett Transit,-79%,10
"Sun, 03/29/20",Everett Transit,,10
"Sat, 03/28/20",Everett Transit,-69%,10
"Fri, 03/27/20",Everett Transit,-70%,10
"Thu, 03/26/20",Everett Transit,-71%,10
"Wed, 03/25/20",Everett Transit,-70%,10
"Tue, 03/24/20",Everett Transit,-73%,10
"Mon, 03/23/20",Everett Transit,-70%,10
"Sun, 03/22/20",Everett Transit,-45%,10
"Sat, 03/21/20",Everett Transit,-50%,10
"Fri, 03/20/20",Everett Transit,-40%,10
"Thu, 03/19/20",Everett Transit,-49%,10
"Wed, 03/18/20",Everett Transit,-45%,10
"Tue, 03/17/20",Everett Transit,-45%,10
"Mon, 03/16/20",Everett Transit,-34%,10
"Sun, 03/15/20",Everett Transit,-29%,10
"Sat, 03/14/20",Everett Transit,-24%,10
"Fri, 03/13/20",Everett Transit,-34%,10
"Thu, 03/12/20",Everett Transit,-28%,10
"Wed, 03/11/20",Everett Transit,-22%,10
"Tue, 03/10/20",Everett Transit,-19%,10
"Mon, 03/09/20",Everett Transit,-21%,10
"Sun, 03/08/20",Everett Transit,-17%,10
"Sat, 03/07/20",Everett Transit,-26%,10
"Fri, 03/06/20",Everett Transit,-18%,10
"Thu, 03/05/20",Everett Transit,-4%,10
"Wed, 03/04/20",Everett Transit,-4%,10
"Tue, 03/03/20",Everett Transit,-1%,10
"Mon, 03/02/20",Everett Transit,-21%,10
"Sun, 03/01/20",Everett Transit,-14%,10
"Wed, 06/03/20",Intercity Transit,-96%,9
"Tue, 06/02/20",Intercity Transit,-97%,9
"Mon, 06/01/20",Intercity Transit,-97%,9
"Sun, 05/31/20",Intercity Transit,-98%,9
"Sat, 05/30/20",Intercity Transit,-97%,9
"Fri, 05/29/20",Intercity Transit,-96%,9
"Thu, 05/28/20",Intercity Transit,-96%,9
"Wed, 05/27/20",Intercity Transit,-96%,9
"Tue, 05/26/20",Intercity Transit,-97%,9
"Mon, 05/25/20",Intercity Transit,-98%,9
"Sun, 05/24/20",Intercity Transit,-98%,9
"Sat, 05/23/20",Intercity Transit,-96%,9
"Fri, 05/22/20",Intercity Transit,-96%,9
"Thu, 05/21/20",Intercity Transit,-96%,9
"Wed, 05/20/20",Intercity Transit,-96%,9
"Tue, 05/19/20",Intercity Transit,-97%,9
"Mon, 05/18/20",Intercity Transit,-97%,9
"Sun, 05/17/20",Intercity Transit,-98%,9
"Sat, 05/16/20",Intercity Transit,-97%,9
"Fri, 05/15/20",Intercity Transit,-96%,9
"Thu, 05/14/20",Intercity Transit,-97%,9
"Wed, 05/13/20",Intercity Transit,-97%,9
"Tue, 05/12/20",Intercity Transit,-97%,9
"Mon, 05/11/20",Intercity Transit,-97%,9
"Sun, 05/10/20",Intercity Transit,-98%,9
"Sat, 05/09/20",Intercity Transit,-97%,9
"Fri, 05/08/20",Intercity Transit,-97%,9
"Thu, 05/07/20",Intercity Transit,-97%,9
"Wed, 05/06/20",Intercity Transit,-96%,9
"Tue, 05/05/20",Intercity Transit,-97%,9
"Mon, 05/04/20",Intercity Transit,-97%,9
"Sun, 05/03/20",Intercity Transit,-98%,9
"Sat, 05/02/20",Intercity Transit,-97%,9
"Fri, 05/01/20",Intercity Transit,-96%,9
"Thu, 04/30/20",Intercity Transit,-97%,9
"Wed, 04/29/20",Intercity Transit,-97%,9
"Tue, 04/28/20",Intercity Transit,-97%,9
"Mon, 04/27/20",Intercity Transit,-97%,9
"Sun, 04/26/20",Intercity Transit,-98%,9
"Sat, 04/25/20",Intercity Transit,-97%,9
"Fri, 04/24/20",Intercity Transit,-97%,9
"Thu, 04/23/20",Intercity Transit,-97%,9
"Wed, 04/22/20",Intercity Transit,-97%,9
"Tue, 04/21/20",Intercity Transit,-97%,9
"Mon, 04/20/20",Intercity Transit,-97%,9
"Sun, 04/19/20",Intercity Transit,-98%,9
"Sat, 04/18/20",Intercity Transit,-97%,9
"Fri, 04/17/20",Intercity Transit,-97%,9
"Thu, 04/16/20",Intercity Transit,-97%,9
"Wed, 04/15/20",Intercity Transit,-97%,9
"Tue, 04/14/20",Intercity Transit,-98%,9
"Mon, 04/13/20",Intercity Transit,-98%,9
"Sun, 04/12/20",Intercity Transit,-81%,9
"Sat, 04/11/20",Intercity Transit,-73%,9
"Fri, 04/10/20",Intercity Transit,-68%,9
"Thu, 04/09/20",Intercity Transit,-72%,9
"Wed, 04/08/20",Intercity Transit,-70%,9
"Tue, 04/07/20",Intercity Transit,-69%,9
"Mon, 04/06/20",Intercity Transit,-66%,9
"Sun, 04/05/20",Intercity Transit,-51%,9
"Sat, 04/04/20",Intercity Transit,-50%,9
"Fri, 04/03/20",Intercity Transit,-63%,9
"Thu, 04/02/20",Intercity Transit,-65%,9
"Wed, 04/01/20",Intercity Transit,-60%,9
"Tue, 03/31/20",Intercity Transit,-64%,9
"Mon, 03/30/20",Intercity Transit,-63%,9
"Sun, 03/29/20",Intercity Transit,-47%,9
"Sat, 03/28/20",Intercity Transit,-48%,9
"Fri, 03/27/20",Intercity Transit,-59%,9
"Thu, 03/26/20",Intercity Transit,-62%,9
"Wed, 03/25/20",Intercity Transit,-57%,9
"Tue, 03/24/20",Intercity Transit,-56%,9
"Mon, 03/23/20",Intercity Transit,-53%,9
"Sun, 03/22/20",Intercity Transit,-43%,9
"Sat, 03/21/20",Intercity Transit,-37%,9
"Fri, 03/20/20",Intercity Transit,-45%,9
"Thu, 03/19/20",Intercity Transit,-45%,9
"Wed, 03/18/20",Intercity Transit,-40%,9
"Tue, 03/17/20",Intercity Transit,-37%,9
"Mon, 03/16/20",Intercity Transit,-31%,9
"Sun, 03/15/20",Intercity Transit,-24%,9
"Sat, 03/14/20",Intercity Transit,-6%,9
"Fri, 03/13/20",Intercity Transit,-24%,9
"Thu, 03/12/20",Intercity Transit,-10%,9
"Wed, 03/11/20",Intercity Transit,-2%,9
"Tue, 03/10/20",Intercity Transit,-2%,9
"Mon, 03/09/20",Intercity Transit,-2%,9
"Sun, 03/08/20",Intercity Transit,-11%,9
"Sat, 03/07/20",Intercity Transit,2%,9
"Fri, 03/06/20",Intercity Transit,-3%,9
"Thu, 03/05/20",Intercity Transit,0%,9
"Wed, 03/04/20",Intercity Transit,4%,9
"Tue, 03/03/20",Intercity Transit,1%,9
"Mon, 03/02/20",Intercity Transit,-9%,9
"Sun, 03/01/20",Intercity Transit,-8%,9
"Wed, 06/03/20",Kitsap Transit - Fast Foot Ferry only,-67%,8
"Tue, 06/02/20",Kitsap Transit - Fast Foot Ferry only,-69%,8
"Mon, 06/01/20",Kitsap Transit - Fast Foot Ferry only,-69%,8
"Sun, 05/31/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 05/30/20",Kitsap Transit - Fast Foot Ferry only,-100%,8
"Fri, 05/29/20",Kitsap Transit - Fast Foot Ferry only,-63%,8
"Thu, 05/28/20",Kitsap Transit - Fast Foot Ferry only,-64%,8
"Wed, 05/27/20",Kitsap Transit - Fast Foot Ferry only,-64%,8
"Tue, 05/26/20",Kitsap Transit - Fast Foot Ferry only,-65%,8
"Mon, 05/25/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sun, 05/24/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 05/23/20",Kitsap Transit - Fast Foot Ferry only,-100%,8
"Fri, 05/22/20",Kitsap Transit - Fast Foot Ferry only,-68%,8
"Thu, 05/21/20",Kitsap Transit - Fast Foot Ferry only,-62%,8
"Wed, 05/20/20",Kitsap Transit - Fast Foot Ferry only,-65%,8
"Tue, 05/19/20",Kitsap Transit - Fast Foot Ferry only,-65%,8
"Mon, 05/18/20",Kitsap Transit - Fast Foot Ferry only,-66%,8
"Sun, 05/17/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 05/16/20",Kitsap Transit - Fast Foot Ferry only,-100%,8
"Fri, 05/15/20",Kitsap Transit - Fast Foot Ferry only,-66%,8
"Thu, 05/14/20",Kitsap Transit - Fast Foot Ferry only,-68%,8
"Wed, 05/13/20",Kitsap Transit - Fast Foot Ferry only,-67%,8
"Tue, 05/12/20",Kitsap Transit - Fast Foot Ferry only,-68%,8
"Mon, 05/11/20",Kitsap Transit - Fast Foot Ferry only,-67%,8
"Sun, 05/10/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 05/09/20",Kitsap Transit - Fast Foot Ferry only,-100%,8
"Fri, 05/08/20",Kitsap Transit - Fast Foot Ferry only,-67%,8
"Thu, 05/07/20",Kitsap Transit - Fast Foot Ferry only,-61%,8
"Wed, 05/06/20",Kitsap Transit - Fast Foot Ferry only,-68%,8
"Tue, 05/05/20",Kitsap Transit - Fast Foot Ferry only,-69%,8
"Mon, 05/04/20",Kitsap Transit - Fast Foot Ferry only,-69%,8
"Sun, 05/03/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 05/02/20",Kitsap Transit - Fast Foot Ferry only,-100%,8
"Fri, 05/01/20",Kitsap Transit - Fast Foot Ferry only,-70%,8
"Thu, 04/30/20",Kitsap Transit - Fast Foot Ferry only,-66%,8
"Wed, 04/29/20",Kitsap Transit - Fast Foot Ferry only,-72%,8
"Tue, 04/28/20",Kitsap Transit - Fast Foot Ferry only,-72%,8
"Mon, 04/27/20",Kitsap Transit - Fast Foot Ferry only,-72%,8
"Sun, 04/26/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 04/25/20",Kitsap Transit - Fast Foot Ferry only,,8
"Fri, 04/24/20",Kitsap Transit - Fast Foot Ferry only,-68%,8
"Thu, 04/23/20",Kitsap Transit - Fast Foot Ferry only,-74%,8
"Wed, 04/22/20",Kitsap Transit - Fast Foot Ferry only,-70%,8
"Tue, 04/21/20",Kitsap Transit - Fast Foot Ferry only,-75%,8
"Mon, 04/20/20",Kitsap Transit - Fast Foot Ferry only,-71%,8
"Sun, 04/19/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 04/18/20",Kitsap Transit - Fast Foot Ferry only,,8
"Fri, 04/17/20",Kitsap Transit - Fast Foot Ferry only,-72%,8
"Thu, 04/16/20",Kitsap Transit - Fast Foot Ferry only,-74%,8
"Wed, 04/15/20",Kitsap Transit - Fast Foot Ferry only,-74%,8
"Tue, 04/14/20",Kitsap Transit - Fast Foot Ferry only,-72%,8
"Mon, 04/13/20",Kitsap Transit - Fast Foot Ferry only,-74%,8
"Sun, 04/12/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 04/11/20",Kitsap Transit - Fast Foot Ferry only,,8
"Fri, 04/10/20",Kitsap Transit - Fast Foot Ferry only,-74%,8
"Thu, 04/09/20",Kitsap Transit - Fast Foot Ferry only,-73%,8
"Wed, 04/08/20",Kitsap Transit - Fast Foot Ferry only,-73%,8
"Tue, 04/07/20",Kitsap Transit - Fast Foot Ferry only,-73%,8
"Mon, 04/06/20",Kitsap Transit - Fast Foot Ferry only,-78%,8
"Sun, 04/05/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 04/04/20",Kitsap Transit - Fast Foot Ferry only,,8
"Fri, 04/03/20",Kitsap Transit - Fast Foot Ferry only,-73%,8
"Thu, 04/02/20",Kitsap Transit - Fast Foot Ferry only,-74%,8
"Wed, 04/01/20",Kitsap Transit - Fast Foot Ferry only,-73%,8
"Tue, 03/31/20",Kitsap Transit - Fast Foot Ferry only,-82%,8
"Mon, 03/30/20",Kitsap Transit - Fast Foot Ferry only,-79%,8
"Sun, 03/29/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 03/28/20",Kitsap Transit - Fast Foot Ferry only,,8
"Fri, 03/27/20",Kitsap Transit - Fast Foot Ferry only,-83%,8
"Thu, 03/26/20",Kitsap Transit - Fast Foot Ferry only,-80%,8
"Wed, 03/25/20",Kitsap Transit - Fast Foot Ferry only,-77%,8
"Tue, 03/24/20",Kitsap Transit - Fast Foot Ferry only,-76%,8
"Mon, 03/23/20",Kitsap Transit - Fast Foot Ferry only,-73%,8
"Sun, 03/22/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 03/21/20",Kitsap Transit - Fast Foot Ferry only,,8
"Fri, 03/20/20",Kitsap Transit - Fast Foot Ferry only,-67%,8
"Thu, 03/19/20",Kitsap Transit - Fast Foot Ferry only,-69%,8
"Wed, 03/18/20",Kitsap Transit - Fast Foot Ferry only,-63%,8
"Tue, 03/17/20",Kitsap Transit - Fast Foot Ferry only,-64%,8
"Mon, 03/16/20",Kitsap Transit - Fast Foot Ferry only,-59%,8
"Sun, 03/15/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 03/14/20",Kitsap Transit - Fast Foot Ferry only,,8
"Fri, 03/13/20",Kitsap Transit - Fast Foot Ferry only,-44%,8
"Thu, 03/12/20",Kitsap Transit - Fast Foot Ferry only,-3%,8
"Wed, 03/11/20",Kitsap Transit - Fast Foot Ferry only,63%,8
"Tue, 03/10/20",Kitsap Transit - Fast Foot Ferry only,-23%,8
"Mon, 03/09/20",Kitsap Transit - Fast Foot Ferry only,-16%,8
"Sun, 03/08/20",Kitsap Transit - Fast Foot Ferry only,,8
"Sat, 03/07/20",Kitsap Transit - Fast Foot Ferry only,,8
"Fri, 03/06/20",Kitsap Transit - Fast Foot Ferry only,-13%,8
"Thu, 03/05/20",Kitsap Transit - Fast Foot Ferry only,180%,8
"Wed, 03/04/20",Kitsap Transit - Fast Foot Ferry only,19%,8
"Tue, 03/03/20",Kitsap Transit - Fast Foot Ferry only,20%,8
"Mon, 03/02/20",Kitsap Transit - Fast Foot Ferry only,19%,8
"Sun, 03/01/20",Kitsap Transit - Fast Foot Ferry only,,8
"Wed, 06/03/20",Kitsap Transit (Excludes Fast Foot Ferry),-69%,7
"Tue, 06/02/20",Kitsap Transit (Excludes Fast Foot Ferry),-71%,7
"Mon, 06/01/20",Kitsap Transit (Excludes Fast Foot Ferry),-67%,7
"Sun, 05/31/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 05/30/20",Kitsap Transit (Excludes Fast Foot Ferry),-58%,7
"Fri, 05/29/20",Kitsap Transit (Excludes Fast Foot Ferry),-68%,7
"Thu, 05/28/20",Kitsap Transit (Excludes Fast Foot Ferry),-70%,7
"Wed, 05/27/20",Kitsap Transit (Excludes Fast Foot Ferry),-69%,7
"Tue, 05/26/20",Kitsap Transit (Excludes Fast Foot Ferry),-69%,7
"Mon, 05/25/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sun, 05/24/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 05/23/20",Kitsap Transit (Excludes Fast Foot Ferry),-35%,7
"Fri, 05/22/20",Kitsap Transit (Excludes Fast Foot Ferry),-66%,7
"Thu, 05/21/20",Kitsap Transit (Excludes Fast Foot Ferry),-72%,7
"Wed, 05/20/20",Kitsap Transit (Excludes Fast Foot Ferry),-72%,7
"Tue, 05/19/20",Kitsap Transit (Excludes Fast Foot Ferry),-70%,7
"Mon, 05/18/20",Kitsap Transit (Excludes Fast Foot Ferry),-70%,7
"Sun, 05/17/20",Kitsap Transit (Excludes Fast Foot Ferry),,7
"Sat, 05/16/20",Kitsap Transit (Excludes Fast Foot Ferry),-62%,7
"Fri, 05/15/20",Kitsap Transit (Excludes Fast Foot Ferry),-70%,7
"Thu, 05/14/20",Kitsap Transit (Excludes Fast Foot Ferry),-73%,7
"Wed, 05/13/20",Kitsap Transit (Excludes Fast Foot Ferry),-73%,7
